SNO,REGION,DISTRICT,VILLAGE,DATE_OF_OBSERVATION,DISEASE,SPECIE_AFFECTED,CASES,DEATH,NO_AT_RISK,TREATED,DESTROYED,SLAUGHTERED,VACCINATED,LAT,LONG,
60,Manyara,Hanang,Gehandu Hanang Mnyara,23-Sep-2019,Rabies,Canine,1,1,45,,0,0,0,-4.52111,35.38243,
61,Ruvuma,Tunduru,Jiungeni village_ Mtina ward,30-Sep-2019,Rabies,"Dog,Donkey,Cattle",4,3,134,,4,0,0,-11.05221,37.34073,
62,Ruvuma,Tunduru,"Nakayaya CDC",16-Nov-2019,Rabies,Dog,2,2,5,,0,0,0,-11.03097,37.32638,
63,Njombe,Makete,makete(Misiwa Village),14-Dec-2019,Rabies,Dog,1,0,1,,1,0,0,-9.25783,34.09330,
64,Mwanza,Sengerema,Nyatukala,10-Dec-2020,Rabies,Dogs,1,0,1,0,0,0,0,-2.660545,32.627625,Suspected
65,Mtwara,Nanyumbu,MKUULA,26-Nov-2020,Rabies,Goats,1,1,6,0,0,0,0,-11.1484917,38.508955,Suspected
66,Morogoro,Morogoro,Mvuha Ward,18-Sep-2020,Rabies,Canine,1,1,86,0,0,0,0,-7.202366,37.863502,Suspected
67,Tabora,Urambo,Ukondamoyo ward/n'holongo village,21-May-2020,Rabies,Dogs,1,0,0,0,0,0,0,-5.109389,31.993196,Suspected
68,Mbeya,Mbozi,Nambinzo Mbozi,13-May-2020,Rabies,Canine,1,0,2,0,0,0,0,-9.1077335,32.9330254,Suspected
69,Pwani,Mkuranga,Mkwaliakitumbo,7-May-2020,Rabies,"Canine,Goats",4,1,104,1,1,,,-7.1291124,39.2096758,Confirmed
70,Ruvuma,Tunduru,Namakambale,29-Apr-2020,Rabies,Dogs,6,1,53,0,0,0,12,-11.0523589,37.3407276,Suspected
71,Tabora,Urambo,izenga batogilwe,16-Apr-2020,Rabies,Dogs,2,0,0,2,2,0,0,-5.0805952,32.0854822,Suspected
72,Tabora,Urambo,osterbay,12-Apr-2020,Rabies,Dogs,2,1,0,0,0,0,0,-5.0922377,32.0679425,Suspected
